"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         254,      -6.923928964,      -4.208196396,      -5.713204244,      -1.461397221
          0,           0,         255,      -6.857317244,      -4.250552045,      -5.706646883,       -1.39488243
          0,           0,         256,      -6.805836832,       -4.30370233,      -5.702143959,      -1.343468887
          0,           0,         257,      -6.766099716,      -4.370457714,      -5.699549896,      -1.303778535
          0,           0,         258,      -6.735990767,      -4.455474206,      -5.698600187,      -1.273702013
          0,           0,         259,       -6.71413799,      -4.567169643,      -5.698915177,      -1.251871051
          0,           0,         260,      -6.699641046,       -4.72299313,      -5.700032725,      -1.237387953
          0,           0,         261,      -6.691923674,      -4.967992048,       -5.70145913,      -1.229678472
          0,           0,         262,      -6.690651907,      -5.412546326,      -5.702736388,      -1.228410249
          0,           0,         263,      -6.695691244,      -5.130945216,      -5.703506904,       -1.23345008
          0,           0,         264,      -6.707090485,      -4.822479766,      -5.703560086,      -1.244847797
          0,           0,         265,      -6.725087901,      -4.644386523,      -5.702846069,      -1.262842428
          0,           0,         266,      -6.750141318,      -4.523820706,      -5.701456021,      -1.287892253
          0,           0,         267,      -6.782990343,      -4.435620132,      -5.699579819,      -1.320736963
          0,           0,         268,      -6.824769824,      -4.368579129,      -5.697458525,      -1.362511012
          0,           0,         269,      -6.877215591,      -4.316802711,      -5.695344343,      -1.414949146
          0,           0,         270,      -6.943054682,      -4.276845989,      -5.693478376,      -1.480776206
          0,           0,         271,       -7.02680701,      -4.246555878,      -5.692076182,      -1.564507855
          0,           0,         272,      -7.136649825,      -4.224532693,      -5.691324672,      -1.674312644
          0,           0,         273,      -7.289612846,      -4.209855048,      -5.691384447,       -1.82720018
          0,           0,         274,      -7.530992927,      -4.201930249,      -5.692395075,      -2.068416608
          0,           0,         275,      -8.041902811,      -4.200410964,      -5.694484418,      -2.579902836
          0,           0,         276,      -7.775916164,      -4.205150178,      -5.697794452,      -2.315550219
          0,           0,         277,      -7.426100722,      -4.216185044,      -5.702435127,      -1.964752296
          0,           0,         278,      -7.237454547,       -4.23374274,      -5.708462481,      -1.775874951
          0,           0,         279,      -7.112137006,      -4.258268166,      -5.715893941,      -1.650464784
          0,           0,         280,      -7.021146991,      -4.290482272,       -5.72471793,      -1.559428933
          0,           0,         281,      -6.952192882,      -4.331488903,      -5.734891696,      -1.490449484
